session_id,session_start_ts,session_end_ts,session_duration,utm_source,utm_campaign,utm_medium,utm_term,utm_content,client_id
19d506f4-5ae7-11eb-b0b2-acde48001122,2020-07-22 00:06:48.141107,2020-07-22 00:07:46.208174,58,yandex_direct,gnrl|845242,gnrl,,,1225900370-984223083
19d50a0a-5ae7-11eb-b0b2-acde48001122,2020-05-15 18:58:16.150037,2020-05-15 18:59:13.160074,57,fb,lal|772023,lal,,,1265117401-301250669
19d50b72-5ae7-11eb-b0b2-acde48001122,2020-05-20 10:26:37.235044,2020-05-20 10:27:48.264122,71,vk,lal|727027,lal,,,1265117401-301250669
19d50cb2-5ae7-11eb-b0b2-acde48001122,2020-05-27 10:08:58.240080,2020-05-27 10:09:46.255140,48,,,,,,1265117401-301250669
19d50dd4-5ae7-11eb-b0b2-acde48001122,2020-05-28 16:55:40.300109,2020-05-28 16:56:43.397174,63,,,,,,1265117401-301250669
19d50ef6-5ae7-11eb-b0b2-acde48001122,2020-06-05 06:58:59.350202,2020-06-05 06:59:58.372209,59,fb,lal|772023,lal,,,1265117401-301250669
19d510f4-5ae7-11eb-b0b2-acde48001122,2020-06-23 13:59:50.076155,2020-06-23 14:01:00.173233,70,fb,lal|772023,lal,,,974573718-1411939311
19d512f2-5ae7-11eb-b0b2-acde48001122,2020-06-19 22:13:03.122082,2020-06-19 22:13:54.197153,51,yandex_direct,gnrl|445275,gnrl,,,979538328-975772282
19d5141e-5ae7-11eb-b0b2-acde48001122,2020-06-22 01:15:36.160129,2020-06-22 01:16:24.255172,48,,,,,,979538328-975772282
19d51536-5ae7-11eb-b0b2-acde48001122,2020-06-27 05:11:54.191190,2020-06-27 05:12:39.205230,45,,,,,,979538328-975772282
19d5164e-5ae7-11eb-b0b2-acde48001122,2020-06-27 23:38:57.261259,2020-06-27 23:40:15.314282,78,google_ads,lal|487809,lal,,,979538328-975772282
19d51842-5ae7-11eb-b0b2-acde48001122,2020-06-23 10:54:25.161018,2020-06-23 10:55:18.223054,53,yandex_direct,gnrl|953233,gnrl,,,1120163048-362459827
19d524d6-5ae7-11eb-b0b2-acde48001122,2020-12-15 04:59:28.155101,2020-12-15 05:00:38.187188,70,,,,,,1953055943-1185697578
19d52652-5ae7-11eb-b0b2-acde48001122,2020-12-23 15:10:49.160129,2020-12-23 15:11:38.252152,49,yandex_direct,gnrl|845242,gnrl,,,1953055943-1185697578
19d52792-5ae7-11eb-b0b2-acde48001122,2020-12-24 08:32:49.166191,2020-12-24 08:33:52.227193,63,,,,,,1953055943-1185697578
19d5297c-5ae7-11eb-b0b2-acde48001122,2020-03-06 16:20:56.082069,2020-03-06 16:21:48.172163,52,fb,gnrl|755263,gnrl,,,567290100-2068932293
19d52ab2-5ae7-11eb-b0b2-acde48001122,2020-03-07 05:47:04.143094,2020-03-07 05:48:03.198180,59,,,,,,567290100-2068932293
19d52bd4-5ae7-11eb-b0b2-acde48001122,2020-03-14 02:03:00.193186,2020-03-14 02:04:03.235215,63,,,,,,567290100-2068932293
19d52ce2-5ae7-11eb-b0b2-acde48001122,2020-03-14 05:02:07.215193,2020-03-14 05:03:00.311201,53,fb,gnrl|755263,gnrl,,,567290100-2068932293
19d52e04-5ae7-11eb-b0b2-acde48001122,2020-03-17 10:29:25.256291,2020-03-17 10:30:33.269294,68,yandex_direct,gnrl|326308,gnrl,,,567290100-2068932293
19d53002-5ae7-11eb-b0b2-acde48001122,2020-09-16 01:16:17.084039,2020-09-16 01:17:30.126039,73,google_ads,lal|487809,lal,,,529917492-1104095774
19d5312e-5ae7-11eb-b0b2-acde48001122,2020-09-22 10:42:49.176056,2020-09-22 10:43:37.252123,48,fb,lal|772023,lal,,,529917492-1104095774
19d53250-5ae7-11eb-b0b2-acde48001122,2020-09-22 11:48:29.256134,2020-09-22 11:49:34.281136,65,,,,,,529917492-1104095774
19d5335e-5ae7-11eb-b0b2-acde48001122,2020-09-28 06:40:27.293185,2020-09-28 06:41:30.392282,63,yandex_direct,gnrl|953233,gnrl,,,529917492-1104095774
19d53552-5ae7-11eb-b0b2-acde48001122,2020-02-16 17:00:01.088123,2020-02-16 17:00:56.159170,55,,,,,,1620628250-935577640
19d5366a-5ae7-11eb-b0b2-acde48001122,2020-02-20 04:10:45.117208,2020-02-20 04:11:41.213243,56,fb,gnrl|755263,gnrl,,,1620628250-935577640
19d5385e-5ae7-11eb-b0b2-acde48001122,2020-08-06 17:52:15.184076,2020-08-06 17:53:14.191138,59,yandex_direct,gnrl|445275,gnrl,,,830333202-483914880
19d5398a-5ae7-11eb-b0b2-acde48001122,2020-08-09 11:11:57.223081,2020-08-09 11:13:03.290162,66,,,,,,830333202-483914880
